Action,Date,Price,Capital
Buy,2021-03-18,3915.46,10468.09086581734
Buy,2021-03-19,3913.1,10467.568854720546
Buy,2021-03-22,3940.59,10473.575829674051
Buy,2021-03-23,3910.52,10466.98726533442
Buy,2021-03-24,3889.14,10462.329319070299
Buy,2021-03-25,3909.52,10466.7349029611
Buy,2021-03-26,3974.54,10480.853231570405
Buy,2021-03-29,3971.09,10480.10858468307
Buy,2021-03-30,3958.55,10477.43399853658
Buy,2021-03-31,3972.89,10480.462315714138
Buy,2021-04-01,4019.87,10490.442759695989
Buy,2021-04-05,4077.91,10502.752548847331
Buy,2021-04-06,4073.94,10501.914004766786
Buy,2021-04-07,4079.95,10503.168698697435
Buy,2021-04-08,4097.17,10506.791456778165
Buy,2021-04-09,4128.8,10513.479642469178
Buy,2021-04-12,4127.99,10513.308063066213
Buy,2021-04-13,4141.59,10516.154106288554
Buy,2021-04-14,4124.66,10512.590532267997
Buy,2021-04-15,4170.42,10522.140316850626
Buy,2021-04-16,4185.47,10525.277114899747
Buy,2021-04-19,4163.26,10520.62279083893
Buy,2021-04-20,4134.94,10514.731384724118
Buy,2021-04-21,4173.42,10522.688104318513
Buy,2021-04-22,4134.98,10514.736897868259
