Date_S&P500,S&P500,Bond_Rate
2020-03-20,2304.92,-0.033
2020-03-19,2409.39,-0.028
2020-03-18,2398.1,0.003
2020-03-17,2529.19,0.165
2020-03-16,2386.13,0.185
2020-03-13,2711.02,0.243
2020-03-12,2480.64,0.273
2020-03-11,2741.38,0.368
2020-03-10,2882.23,0.39
2020-03-09,2746.56,0.33
2020-03-06,2972.37,0.415
2020-03-05,3023.94,0.595
2020-03-04,3130.12,0.675
2020-03-03,3003.37,0.918
2020-03-02,3090.23,1.135
2020-02-28,2954.22,1.23
2020-02-27,2978.76,1.395
2020-02-26,3116.39,1.478
2020-02-25,3128.21,1.49
2020-02-24,3225.89,1.503
2020-02-21,3337.75,1.518
2020-02-20,3373.23,1.538
2020-02-19,3386.15,1.543
2020-02-18,3370.29,1.535
2020-02-14,3380.16,1.535
2020-02-13,3373.94,1.545
2020-02-12,3379.45,1.535
2020-02-11,3357.75,1.538
2020-02-10,3352.09,1.52
2020-02-07,3327.71,1.518
2020-02-06,3345.78,1.53
2020-02-05,3334.69,1.52
2020-02-04,3297.59,1.538
2020-02-03,3248.92,1.518
2020-01-31,3225.52,1.51
2020-01-30,3283.66,1.528
2020-01-29,3273.4,1.52
2020-01-28,3276.24,1.53
2020-01-27,3243.63,1.505
2020-01-24,3295.47,1.49
2020-01-23,3325.54,1.515
2020-01-22,3321.75,1.513
2020-01-21,3320.79,1.503
2020-01-17,3329.62,1.523
2020-01-16,3316.81,1.518
2020-01-15,3289.29,1.508
2020-01-14,3283.15,1.53
2020-01-13,3288.13,1.51
2020-01-10,3265.35,1.498
2020-01-09,3274.7,1.5
2020-01-08,3253.05,1.493
2020-01-07,3237.18,1.5
2020-01-06,3246.28,1.488
2020-01-03,3234.85,1.473
2020-01-02,3257.85,1.495
2019-12-31,3230.78,1.505
2019-12-30,3221.29,1.49
2019-12-27,3240.02,1.518
2019-12-26,3239.91,1.535
2019-12-24,3223.38,1.538
2019-12-23,3224.01,1.52
